"TIME","GEO","SEX","UNIT","Value"
"2019W02","Latvia","Total","Number","669"
"2019W02","Latvia","Males","Number","328"
"2019W02","Latvia","Females","Number","341"
"2019W02","Lithuania","Total","Number","878"
"2019W02","Lithuania","Males","Number","416"
"2019W02","Lithuania","Females","Number","462"
"2019W02","Luxembourg","Total","Number","82"
"2019W02","Luxembourg","Males","Number","43"
"2019W02","Luxembourg","Females","Number","39"
"2019W02","Hungary","Total","Number","3 090"
"2019W02","Hungary","Males","Number","1 480"
"2019W02","Hungary","Females","Number","1 610"
"2019W02","Malta","Total","Number","87"
"2019W02","Malta","Males","Number","42"
"2019W02","Malta","Females","Number","45"
"2019W02","Netherlands","Total","Number","3 261"
"2019W02","Netherlands","Males","Number","1 578"
"2019W02","Netherlands","Females","Number","1 683"
"2019W02","Austria","Total","Number","1 710"
"2019W02","Austria","Males","Number","832"
"2019W02","Austria","Females","Number","878"
"2019W02","Poland","Total","Number","8 586"
"2019W02","Poland","Males","Number","4 392"
"2019W02","Poland","Females","Number","4 194"
"2019W02","Portugal","Total","Number","2 884"
"2019W02","Portugal","Males","Number","1 397"
"2019W02","Portugal","Females","Number","1 487"
"2019W02","Romania","Total","Number","6 136"
"2019W02","Romania","Males","Number","3 155"
"2019W02","Romania","Females","Number","2 981"
"2019W02","Slovenia","Total","Number","488"
"2019W02","Slovenia","Males","Number","219"
"2019W02","Slovenia","Females","Number","269"
"2019W02","Slovakia","Total","Number","1 094"
"2019W02","Slovakia","Males","Number","550"
"2019W02","Slovakia","Females","Number","544"
"2019W02","Finland","Total","Number","1 125"
"2019W02","Finland","Males","Number","566"
"2019W02","Finland","Females","Number","559"
"2019W02","Sweden","Total","Number","1 820"
"2019W02","Sweden","Males","Number","914"
"2019W02","Sweden","Females","Number","906"
"2019W02","United Kingdom","Total","Number","14 442"
"2019W02","United Kingdom","Males","Number","7 058"
"2019W02","United Kingdom","Females","Number","7 384"
"2019W02","Iceland","Total","Number","41"
"2019W02","Iceland","Males","Number","18"
"2019W02","Iceland","Females","Number","23"
"2019W02","Liechtenstein","Total","Number","3"
"2019W02","Liechtenstein","Males","Number","2"
"2019W02","Liechtenstein","Females","Number","1"
"2019W02","Norway","Total","Number","828"
"2019W02","Norway","Males","Number","418"
"2019W02","Norway","Females","Number","410"
"2019W02","Switzerland","Total","Number","1 389"
"2019W02","Switzerland","Males","Number","665"
"2019W02","Switzerland","Females","Number","724"
"2019W02","Montenegro","Total","Number","152"
"2019W02","Montenegro","Males","Number","80"
"2019W02","Montenegro","Females","Number","72"
"2019W02","Albania","Total","Number","563"
